round,variant,count,shape,repeat,link_ns,output_arena_bytes,sort_scratch_bytes,checksum,failed
1,base,32768,0,6,994642275,3573016,655360,9126526976,0
1,base,32768,0,7,805961997,3573016,655360,9126526976,0
1,patch,65536,0,0,17806420,7144728,1310720,36506664960,0
1,patch,65536,0,1,18005546,7144728,1310720,36506664960,0
1,patch,65536,0,2,8306603,7144728,1310720,36506664960,0
1,patch,65536,0,3,19900893,7144728,1310720,36506664960,0
1,patch,65536,0,4,4010420,7144728,1310720,36506664960,0
1,patch,65536,0,5,7049300,7144728,1310720,36506664960,0
1,patch,65536,0,6,12686486,7144728,1310720,36506664960,0
1,patch,65536,0,7,8594542,7144728,1310720,36506664960,0
1,base,65536,0,0,4733518015,7144728,1310720,36506664960,0
1,base,65536,0,1,4847283978,7144728,1310720,36506664960,0
1,base,65536,0,2,3679598391,7144728,1310720,36506664960,0
1,base,65536,0,3,3627811570,7144728,1310720,36506664960,0
1,base,65536,0,4,3399971144,7144728,1310720,36506664960,0
1,base,65536,0,5,5173045709,7144728,1310720,36506664960,0
1,base,65536,0,6,4829223331,7144728,1310720,36506664960,0
1,base,65536,0,7,6097376988,7144728,1310720,36506664960,0
1,patch,8,1,0,4362,2176,0,476,0
1,patch,8,1,1,867,2176,0,476,0
1,patch,8,1,2,589,2176,0,476,0
1,patch,8,1,3,521,2176,0,476,0
1,patch,8,1,4,534,2176,0,476,0
1,patch,8,1,5,459,2176,0,476,0
1,patch,8,1,6,443,2176,0,476,0
1,patch,8,1,7,439,2176,0,476,0
1,base,8,1,0,3942,2176,0,476,0
1,base,8,1,1,1118,2176,0,476,0
1,base,8,1,2,645,2176,0,476,0
1,base,8,1,3,584,2176,0,476,0
1,base,8,1,4,551,2176,0,476,0
1,base,8,1,5,549,2176,0,476,0
1,base,8,1,6,540,2176,0,476,0
1,base,8,1,7,557,2176,0,476,0
1,patch,1024,1,0,75558,112920,0,8904192,0
1,patch,1024,1,1,24494,112920,0,8904192,0
1,patch,1024,1,2,22414,112920,0,8904192,0
1,patch,1024,1,3,22121,112920,0,8904192,0
1,patch,1024,1,4,22018,112920,0,8904192,0
1,patch,1024,1,5,21583,112920,0,8904192,0
1,patch,1024,1,6,22259,112920,0,8904192,0
1,patch,1024,1,7,21838,112920,0,8904192,0
1,base,1024,1,0,74784,112920,0,8904192,0
1,base,1024,1,1,24352,112920,0,8904192,0
1,base,1024,1,2,24008,112920,0,8904192,0
1,base,1024,1,3,24210,112920,0,8904192,0
1,base,1024,1,4,23284,112920,0,8904192,0
1,base,1024,1,5,23877,112920,0,8904192,0
1,base,1024,1,6,24171,112920,0,8904192,0
1,base,1024,1,7,24675,112920,0,8904192,0
1,patch,65536,1,0,7561604,7144728,0,36506664960,0
1,patch,65536,1,1,1876103,7144728,0,36506664960,0
1,patch,65536,1,2,23417432,7144728,0,36506664960,0
1,patch,65536,1,3,1854523,7144728,0,36506664960,0
1,patch,65536,1,4,1988842,7144728,0,36506664960,0
1,patch,65536,1,5,7761075,7144728,0,36506664960,0
1,patch,65536,1,6,9972955,7144728,0,36506664960,0
1,patch,65536,1,7,1960763,7144728,0,36506664960,0
1,base,65536,1,0,12413894,7144728,0,36506664960,0
1,base,65536,1,1,5634394,7144728,0,36506664960,0
1,base,65536,1,2,2605336,7144728,0,36506664960,0
1,base,65536,1,3,12605617,7144728,0,36506664960,0
1,base,65536,1,4,3288460,7144728,0,36506664960,0
1,base,65536,1,5,2085528,7144728,0,36506664960,0
1,base,65536,1,6,6040299,7144728,0,36506664960,0
1,base,65536,1,7,141410170,7144728,0,36506664960,0
1,patch,65536,2,0,29194729,7144728,0,36506664960,0
1,patch,65536,2,1,9633978,7144728,0,36506664960,0
1,patch,65536,2,2,1541143,7144728,0,36506664960,0
1,patch,65536,2,3,1159073,7144728,0,36506664960,0
1,patch,65536,2,4,9205836,7144728,0,36506664960,0
1,patch,65536,2,5,1105576,7144728,0,36506664960,0
1,patch,65536,2,6,1082835,7144728,0,36506664960,0
1,patch,65536,2,7,13146275,7144728,0,36506664960,0
1,base,65536,2,0,32647371,7144728,0,36506664960,0
1,base,65536,2,1,2159033,7144728,0,36506664960,0
1,base,65536,2,2,1866007,7144728,0,36506664960,0
1,base,65536,2,3,16481491,7144728,0,36506664960,0
1,base,65536,2,4,2514063,7144728,0,36506664960,0
1,base,65536,2,5,8010731,7144728,0,36506664960,0
1,base,65536,2,6,5497420,7144728,0,36506664960,0
1,base,65536,2,7,7377206,7144728,0,36506664960,0
