tags,pair,variant,bytes,frontend_min_ns,frontend_median_ns,wall_ns,user_s,system_s,max_rss_kib,source_sha256
8193,2,patch,578410,24328818,32374590,1163607783,0.842901,0.0077209999999999996,35356,642d4cba936479125e88d7d985330d6a310b9af730bf12239e7d098ea8545f7a
8193,3,patch,578410,33147671,54495037,1696219610,0.8424729999999999,0.040278,35324,642d4cba936479125e88d7d985330d6a310b9af730bf12239e7d098ea8545f7a
8193,3,base,578410,81634533,115110828,3745504576,1.528489,0.050636999999999995,34580,642d4cba936479125e88d7d985330d6a310b9af730bf12239e7d098ea8545f7a
12000,0,base,854707,1110974164,1626798640,54955865164,27.401537,0.297388,43012,a61d218407f00da9246597da7280d0dbfcc34af9a142276f53780f8ea4fd5997
12000,0,patch,854707,81520957,101699959,4917087588,1.957515,0.024662,43612,a61d218407f00da9246597da7280d0dbfcc34af9a142276f53780f8ea4fd5997
12000,1,patch,854707,150094904,190423956,7224254853,3.066214,0.101116,43760,a61d218407f00da9246597da7280d0dbfcc34af9a142276f53780f8ea4fd5997
12000,1,base,854707,1347044522,2593254059,70468310652,38.898076,0.315119,42576,a61d218407f00da9246597da7280d0dbfcc34af9a142276f53780f8ea4fd5997
12000,2,base,854707,1277838167,2277263523,86340359328,53.652823,0.921395,43012,a61d218407f00da9246597da7280d0dbfcc34af9a142276f53780f8ea4fd5997
12000,2,patch,854707,108895285,212917235,12124053021,4.64535,0.091435,43804,a61d218407f00da9246597da7280d0dbfcc34af9a142276f53780f8ea4fd5997
12000,3,patch,854707,240303309,361013205,13134492263,3.031539,0.056027,43780,a61d218407f00da9246597da7280d0dbfcc34af9a142276f53780f8ea4fd5997
12000,3,base,854707,2837511505,3323174127,109151254376,43.138328,0.43254899999999996,42900,a61d218407f00da9246597da7280d0dbfcc34af9a142276f53780f8ea4fd5997
