# Exact instruction-count populations

unity-counts.txt: bytes=16875 sha256=4503aa9004b147016bdcfb5d80cff3b2ab6c357e3927f742b358bdc6544667fc
small-counts.txt: bytes=2 sha256=7de1555df0c2700329e815b93b32c571c3ea54dc967b89e81ab73b9972b72d1d

The ordered raw streams are retained in GitHub Actions artifact 10498099770.
The committed histograms below are lossless for the requested distribution and
preserve every distinct `function->instruction_count` and its multiplicity.

===== BEGIN unity-histogram.tsv =====
instruction_count	calls	instructions	clear_bytes
428	3	1284	5136
430	2	860	3440
431	1	431	1724
432	1	432	1728
433	3	1299	5196
434	1	434	1736
435	1	435	1740
436	3	1308	5232
438	4	1752	7008
439	1	439	1756
440	2	880	3520
441	5	2205	8820
442	4	1768	7072
443	1	443	1772
444	2	888	3552
446	1	446	1784
448	2	896	3584
449	2	898	3592
450	2	900	3600
451	1	451	1804
452	2	904	3616
455	4	1820	7280
457	3	1371	5484
458	2	916	3664
461	3	1383	5532
463	2	926	3704
464	1	464	1856
465	3	1395	5580
466	1	466	1864
467	1	467	1868
468	1	468	1872
469	2	938	3752
471	1	471	1884
472	1	472	1888
473	1	473	1892
474	3	1422	5688
475	3	1425	5700
476	5	2380	9520
477	4	1908	7632
480	2	960	3840
482	2	964	3856
484	1	484	1936
486	3	1458	5832
487	2	974	3896
488	2	976	3904
489	1	489	1956
492	1	492	1968
493	2	986	3944
494	2	988	3952
496	1	496	1984
499	2	998	3992
501	1	501	2004
502	3	1506	6024
504	1	504	2016
505	1	505	2020
506	4	2024	8096
507	2	1014	4056
508	1	508	2032
510	1	510	2040
512	3	1536	6144
513	1	513	2052
514	1	514	2056
515	1	515	2060
517	2	1034	4136
518	1	518	2072
520	1	520	2080
521	1	521	2084
522	2	1044	4176
524	1	524	2096
525	1	525	2100
527	1	527	2108
528	1	528	2112
530	1	530	2120
531	2	1062	4248
532	1	532	2128
534	1	534	2136
537	2	1074	4296
538	1	538	2152
539	1	539	2156
543	1	543	2172
545	1	545	2180
546	2	1092	4368
547	1	547	2188
549	2	1098	4392
550	2	1100	4400
551	1	551	2204
552	1	552	2208
554	2	1108	4432
556	1	556	2224
558	1	558	2232
559	2	1118	4472
560	1	560	2240
561	2	1122	4488
565	1	565	2260
566	1	566	2264
567	2	1134	4536
568	1	568	2272
569	1	569	2276
570	3	1710	6840
571	1	571	2284
572	3	1716	6864
573	1	573	2292
574	3	1722	6888
575	1	575	2300
578	1	578	2312
582	2	1164	4656
584	1	584	2336
585	3	1755	7020
586	5	2930	11720
589	1	589	2356
590	1	590	2360
591	1	591	2364
594	1	594	2376
595	2	1190	4760
596	1	596	2384
598	1	598	2392
599	1	599	2396
601	1	601	2404
602	1	602	2408
604	3	1812	7248
605	3	1815	7260
607	2	1214	4856
608	1	608	2432
609	1	609	2436
610	1	610	2440
612	1	612	2448
614	1	614	2456
