round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256
0,1,0,1,15,0.023273288999916986,0.013986999999999999,0.0090390000000000002,32161792,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134
0,1,1,0,15,0.022717509000358405,0.018075000000000001,0.0042639999999999996,32030720,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134
0,1,0,1,6,0.022392918999685207,0.017520000000000001,0.0047029999999999997,31084544,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c
0,1,1,0,6,0.022417875999963144,0.014893,0.0073339999999999994,31277056,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c
0,1,0,0,1,0.013615250998554984,0.006698,0.006679,24739840,NA,NA,NA,NA,NA,NA,NA,NA,2056,133,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585
0,1,1,1,1,0.01375728099810658,0.0092359999999999994,0.004352,24674304,NA,NA,NA,NA,NA,NA,NA,NA,2056,133,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585
0,1,0,0,3,0.013878759000363061,0.0036609999999999998,0.010041999999999999,24870912,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207
0,1,1,1,3,0.014125353998679202,0.013555999999999999,0,24805376,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207
0,1,0,1,21,0.11434437099887873,0.101909,0.012211,60293120,NA,NA,NA,NA,NA,NA,NA,NA,2209528,711531,19202,64,955dcf7525f03629d689feea1585905e0b8700805efb32f241197b1ebcb41ffa
0,1,1,0,21,0.11037815500094439,0.086960999999999997,0.023186999999999999,60514304,NA,NA,NA,NA,NA,NA,NA,NA,2209528,711531,19202,64,955dcf7525f03629d689feea1585905e0b8700805efb32f241197b1ebcb41ffa
0,1,0,1,16,0.06162655199659639,0.053067999999999997,0.0082379999999999988,43089920,NA,NA,NA,NA,NA,NA,NA,NA,1082000,235398,3329,64,0a2640f1e20aa1aa539adbeb18cdf2a1ebe47a1dc573029aa0c35ed433364c04
0,1,1,0,16,0.062141116999555379,0.053849999999999995,0.0080470000000000003,43016192,NA,NA,NA,NA,NA,NA,NA,NA,1082000,235398,3329,64,0a2640f1e20aa1aa539adbeb18cdf2a1ebe47a1dc573029aa0c35ed433364c04
0,1,0,0,13,0.02406943399910233,0.015578999999999999,0.0082679999999999993,32325632,NA,NA,NA,NA,NA,NA,NA,NA,313536,280189,4101,1,5a04cd3dab823e43a4d317f4a27057eec5b1fcaecf9843229a14a897b95f1f29
0,1,1,1,13,0.024314756999956444,0.016063999999999998,0.008062999999999999,32227328,NA,NA,NA,NA,NA,NA,NA,NA,313536,280189,4101,1,5a04cd3dab823e43a4d317f4a27057eec5b1fcaecf9843229a14a897b95f1f29
0,1,0,0,23,0.12822247500298545,0.11567899999999999,0.012154999999999999,58466304,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623
0,1,1,1,23,0.13045767999938107,0.107598,0.022620999999999999,58413056,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623
0,1,0,0,14,0.024564985000324668,0.020253999999999998,0.004078,32284672,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134
0,1,1,1,14,0.025363836000906304,0.021394999999999997,0.0036339999999999996,32096256,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134
0,1,0,1,7,0.023724734997813357,0.019914999999999999,0.0036479999999999998,31506432,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c
0,1,1,0,7,0.025309435000963276,0.016241999999999999,0.008881,31408128,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c
0,1,0,1,5,0.022082180999859702,0.0087749999999999998,0.013153,31145984,NA,NA,NA,NA,NA,NA,NA,NA,192736,51085,1029,1,98c15b8b4636441c6e839c68a3bed9dee3bd8ae062882739073db7b7ed7d66f3
0,1,1,0,5,0.022622147997026332,0.014896999999999999,0.0074669999999999997,31145984,NA,NA,NA,NA,NA,NA,NA,NA,192736,51085,1029,1,98c15b8b4636441c6e839c68a3bed9dee3bd8ae062882739073db7b7ed7d66f3
0,1,0,1,4,0.031276945999707095,0.023382,0.0077069999999999994,28655616,NA,NA,NA,NA,NA,NA,NA,NA,163920,51085,1029,1,3469c6c02ad818b9b840f744b74781f39d0d6d69319fb824d729f7875274b381
0,1,1,0,4,0.030721233997610398,0.026726999999999997,0.0038279999999999998,28983296,NA,NA,NA,NA,NA,NA,NA,NA,163920,51085,1029,1,3469c6c02ad818b9b840f744b74781f39d0d6d69319fb824d729f7875274b381
0,1,0,1,22,0.11610133499925723,0.086751999999999996,0.029000999999999999,58347520,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623
0,1,1,0,22,0.10608643999876222,0.089651999999999996,0.016212000000000001,58347520,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623
0,1,0,1,19,0.046854793003149098,0.034634999999999999,0.011575,40374272,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc
0,1,1,0,19,0.047762252997927135,0.023871,0.023446999999999999,40767488,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc
0,2,0,1,17,0.051532689998566639,0.039411999999999996,0.011828999999999999,41816064,NA,NA,NA,NA,NA,NA,NA,NA,1009296,235398,3329,64,46bbbc4439d5a1911d5728e76ba413a577b270d33a6d6f7287d5e66409ad1e95
0,2,1,0,17,0.051959610998892458,0.039726999999999998,0.012013999999999999,41881600,NA,NA,NA,NA,NA,NA,NA,NA,1009296,235398,3329,64,46bbbc4439d5a1911d5728e76ba413a577b270d33a6d6f7287d5e66409ad1e95
0,2,0,1,10,0.019982780999271199,0.015887999999999999,0.003908,30412800,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3
