workload,phase,pair,warmup,variant,wallNs,userCpuNs,systemCpuNs,maxRssKiB,instructionsUser,sha256
shallow-2048,timing,-2,True,before,47270521,41953000,4995000,137968,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,-2,True,after,51668468,43260000,8063000,141972,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,-1,True,after,53526103,47262000,5875000,142044,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,-1,True,before,48243691,42904000,4995000,137840,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,0,False,before,47437302,38090000,9017000,137960,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,0,False,after,46573390,40222000,6016000,142344,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,1,False,after,46646082,38465000,7884000,142304,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,1,False,before,47587252,42296000,4911000,137784,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,2,False,before,48252284,41918000,5999000,138236,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,2,False,after,56960831,47468000,9086000,142316,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,3,False,after,59096403,46750000,11918000,142344,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,3,False,before,1799004983,48575000,10913000,137948,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,4,False,before,69344869,56025000,12719000,138056,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,4,False,after,47441205,42106000,5009000,142288,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,5,False,after,48173553,39849000,7989000,142380,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,5,False,before,47598072,38402000,8856000,137596,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,6,False,before,56663610,47411000,8874000,138088,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,6,False,after,54245527,45834000,7960000,142128,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,7,False,after,53730030,48393000,4933000,142376,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,7,False,before,72545043,67168000,4963000,137964,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,8,False,before,70155951,60750000,8966000,138188,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,8,False,after,47153373,39882000,6958000,142056,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,counter,0,False,before,,,,,478566773,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,counter,0,False,after,,,,,478952732,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,counter,1,False,after,,,,,478952626,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
