workload,series,pair,compiler,wall_s,user_s,system_s,rss_kib,minor_faults,major_faults,sha256
allocation,before_pause,17,candidate,0.06374096299987286,0.03223,0.010062,27792,3039,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,18,candidate,0.04773688200657489,0.029601,0.015262999999999999,30540,3701,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,18,baseline,0.04222183400270296,0.02924,0.012015,32040,3632,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,19,baseline,0.04296936000173446,0.030133,0.011965,31776,3600,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,19,candidate,0.04382938300113892,0.028231,0.014606,30448,3686,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,20,baseline,0.1176402000055532,0.032975,0.012092,31692,3586,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,20,candidate,0.04305628199654166,0.028062999999999998,0.013939,30404,3684,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,21,candidate,0.0944046860022354,0.031774,0.011602,26604,3776,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,21,baseline,0.10523348599963356,0.028478999999999997,0.013068,33756,3590,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,22,baseline,0.15208379299292574,0.030514999999999997,0.013332,28168,3686,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,22,candidate,0.10808818700024858,0.029674,0.015309999999999999,32484,3689,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,23,candidate,0.0708537689934019,0.030128,0.014502,32520,3705,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,23,baseline,0.054460327002743725,0.033961,0.008961,27880,3681,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,counter,baseline,0.06788086400047177,0.042831,0.023635999999999997,35896,4963,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,counter,candidate,0.07087283099826891,0.037094999999999996,0.032171,32624,5125,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
member_stress,before_pause,-2,baseline,0.20957846300007077,0.054256,0.020052,44824,6382,1,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,-2,candidate,0.0739764159952756,0.054389,0.018118,43152,6457,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,-1,candidate,0.12448690699966392,0.053148,0.022843,43188,6438,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,-1,baseline,0.1172158670015051,0.048894,0.023943,44472,6352,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,0,candidate,0.07357383600174217,0.049562999999999996,0.022756,43156,6471,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,0,baseline,0.07140099100070074,0.044407999999999996,0.025592999999999998,44596,6343,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,1,candidate,0.07434630199713865,0.046347,0.026612,43300,6463,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,1,baseline,0.07183632400119677,0.051711,0.018812,44552,6350,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,2,baseline,0.0743662060049246,0.050815,0.021837,44432,6338,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,2,candidate,0.0736906940001063,0.049726,0.02238,43096,6429,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,3,baseline,0.0727129579972825,0.047219,0.023528,44884,6392,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,3,candidate,0.09143383000628091,0.055708,0.01918,43136,6430,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,4,candidate,0.09672366299491841,0.050328,0.026473,43192,6475,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,4,baseline,0.15806681899994146,0.047298,0.026098,44336,6344,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,5,candidate,0.15649793200282147,0.056232,0.019749,40920,6417,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,5,baseline,0.17779648199939402,0.051695,0.024874,46264,6287,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,6,candidate,0.16572533499856945,0.051659,0.027538999999999998,37424,6518,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,6,baseline,0.1353960950000328,0.056174999999999996,0.018376999999999998,44740,6364,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,7,baseline,0.15022744000452803,0.058031,0.017547999999999998,44636,6342,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,7,candidate,0.16225336900242837,0.056603,0.019736,43244,6440,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,8,candidate,0.2116626740025822,0.054002999999999995,0.021344,43080,6428,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,8,baseline,0.19882237300043926,0.047765999999999996,0.025507,38600,6431,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,9,baseline,0.21493827999802306,0.047394,0.025255,40892,6432,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,9,candidate,0.19695464999676915,0.051524,0.021491,37304,6516,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,10,baseline,0.25646413000504253,0.052319,0.022692999999999998,44312,6296,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,10,candidate,0.19060315499518765,0.049679999999999995,0.024791,40992,6418,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,11,candidate,0.15855434200057061,0.048139,0.023628,41204,6460,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,11,baseline,0.22431636299734237,0.056878,0.018505,42996,6395,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,12,baseline,0.17870120800216682,0.053884999999999995,0.020035,42500,6340,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,12,candidate,0.1546052769990638,0.051519999999999996,0.022366999999999998,41148,6432,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,13,baseline,0.15564764000009745,0.042928999999999995,0.032646,42836,6379,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,13,candidate,0.16492171100253472,0.053474999999999995,0.021528,40908,6419,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,14,candidate,0.22518408999894746,0.049633,0.02533,41040,6428,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,14,baseline,0.16660140200110618,0.050413,0.026074,42276,6338,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,15,candidate,0.17881306899653282,0.053806,0.02335,41032,6459,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,15,baseline,0.10360633300297195,0.050697,0.024825999999999997,42480,6339,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,16,baseline,0.16385723099665483,0.055472999999999995,0.021953999999999998,42712,6367,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
