workload,pair,mode,elapsed_ns,cpu_seconds,user_seconds,system_seconds,rss_kib,output_bytes,output_sha256,instructions:u,cycles:u,task-clock:u,minor_faults,major_faults
operations,22,direct,19364614,0.018928,0.014960999999999999,0.003967,60540,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573260.0,45941068.0,18.37,990,0
operations,23,reference,19608648,0.019151,0.015104,0.004047,60468,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107471865.0,45612613.0,18.1,956,0
operations,23,direct,19068469,0.018684,0.013765,0.004919,60496,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573140.0,46057815.0,17.68,956,0
operations,24,reference,19544448,0.019069,0.014303,0.004765999999999999,60480,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472579.0,45863289.0,17.57,974,0
operations,24,direct,19714302,0.01929,0.01624,0.0030499999999999998,60372,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573075.0,47500625.0,18.25,953,0
operations,25,reference,19123545,0.01865,0.014544,0.004105999999999999,60616,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472298.0,46401877.0,17.92,997,0
operations,25,direct,19090854,0.018491,0.014374,0.004117,60664,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573034.0,46593567.0,18.5,961,0
operations,26,direct,19127396,0.018661999999999998,0.012759999999999999,0.005902,60388,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573335.0,44767705.0,17.53,952,0
operations,26,reference,19087541,0.018649,0.014719999999999999,0.003929,61004,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472373.0,46006430.0,17.76,507,0
operations,27,direct,23157393,0.022585,0.017443,0.005142,60784,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573575.0,46713712.0,18.25,960,0
operations,27,reference,18913278,0.018519,0.013405,0.005114,60284,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472148.0,46701729.0,17.18,951,0
