workload,phase,pair,warmup,variant,wallNs,userCpuNs,systemCpuNs,maxRssKiB,instructionsUser,sha256,command
deep-1023,counter,1,False,after,,,,,94722036,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""taskset"", ""-c"", ""2"", ""perf"", ""stat"", ""-x"", "";"", ""-e"", ""instructions:u"", ""--"", ""CANDIDATE"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,counter,1,False,before,,,,,94722329,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""taskset"", ""-c"", ""2"", ""perf"", ""stat"", ""-x"", "";"", ""-e"", ""instructions:u"", ""--"", ""BASELINE"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,counter,2,False,before,,,,,94721648,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""taskset"", ""-c"", ""2"", ""perf"", ""stat"", ""-x"", "";"", ""-e"", ""instructions:u"", ""--"", ""BASELINE"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,counter,2,False,after,,,,,94721677,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""taskset"", ""-c"", ""2"", ""perf"", ""stat"", ""-x"", "";"", ""-e"", ""instructions:u"", ""--"", ""CANDIDATE"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,-2,True,before,45552260,16299000,6209000,60052,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-operations-timing--2-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,-2,True,after,45631110,18843000,3141000,60240,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-operations-timing--2-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,-1,True,after,46409942,17953000,4987000,60004,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-operations-timing--1-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,-1,True,before,45717822,15325000,7133000,59992,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-operations-timing--1-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,0,False,before,44731505,20414000,1069000,59592,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-operations-timing-0-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,0,False,after,41341863,16874000,3613000,60412,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-operations-timing-0-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
